"id","created_by","created_at","updated_at","local_code","name","is_active","exchange_id"
"1",101,"2026-02-06 14:12:20.310236+04","2026-02-06 14:12:20.310236+04","0801","AUTOMOBILE ASSEMBLER",True,4001
"2",101,"2026-02-06 14:12:20.310236+04","2026-02-06 14:12:20.310236+04","0802","AUTOMOBILE PARTS & ACCESSORIES",True,4001
"3",101,"2026-02-06 14:12:20.310236+04","2026-02-06 14:12:20.310236+04","0803","CABLE & ELECTRICAL GOODS",True,4001
"4",101,"2026-02-06 14:12:20.310236+04","2026-02-06 14:12:20.310236+04","0804","CEMENT",True,4001
"5",101,"2026-02-06 14:12:20.310236+04","2026-02-06 14:12:20.310236+04","0805","CHEMICAL",True,4001
"6",101,"2026-02-06 14:12:20.310236+04","2026-02-06 14:12:20.310236+04","0806","CLOSE - END MUTUAL FUND",True,4001
"7",101,"2026-02-06 14:12:20.310236+04","2026-02-06 14:12:20.310236+04","0807","COMMERCIAL BANKS",True,4001
"8",101,"2026-02-06 14:12:20.310236+04","2026-02-06 14:12:20.310236+04","0808","ENGINEERING",True,4001
"9",101,"2026-02-06 14:12:20.310236+04","2026-02-06 14:12:20.310236+04","0837","EXCHANGE TRADED FUNDS",True,4001
"10",101,"2026-02-06 14:12:20.310236+04","2026-02-06 14:12:20.310236+04","0809","FERTILIZER",True,4001
"11",101,"2026-02-06 14:12:20.310236+04","2026-02-06 14:12:20.310236+04","0810","FOOD & PERSONAL CARE PRODUCTS",True,4001
"12",101,"2026-02-06 14:12:20.310236+04","2026-02-06 14:12:20.310236+04","0040","FUTURE CONTRACTS",True,4001
"13",101,"2026-02-06 14:12:20.310236+04","2026-02-06 14:12:20.310236+04","0811","GLASS & CERAMICS",True,4001
"14",101,"2026-02-06 14:12:20.310236+04","2026-02-06 14:12:20.310236+04","0812","INSURANCE",True,4001
"15",101,"2026-02-06 14:12:20.310236+04","2026-02-06 14:12:20.310236+04","0813","INV. BANKS / INV. COS. / SECURITIES COS.",True,4001
"16",101,"2026-02-06 14:12:20.310236+04","2026-02-06 14:12:20.310236+04","0814","JUTE",True,4001
"17",101,"2026-02-06 14:12:20.310236+04","2026-02-06 14:12:20.310236+04","0815","LEASING COMPANIES",True,4001
"18",101,"2026-02-06 14:12:20.310236+04","2026-02-06 14:12:20.310236+04","0816","LEATHER & TANNERIES",True,4001
"19",101,"2026-02-06 14:12:20.310236+04","2026-02-06 14:12:20.310236+04","0818","MISCELLANEOUS",True,4001
"20",101,"2026-02-06 14:12:20.310236+04","2026-02-06 14:12:20.310236+04","0819","MODARABAS",True,4001
"21",101,"2026-02-06 14:12:20.310236+04","2026-02-06 14:12:20.310236+04","0820","OIL & GAS EXPLORATION COMPANIES",True,4001
"22",101,"2026-02-06 14:12:20.310236+04","2026-02-06 14:12:20.310236+04","0821","OIL & GAS MARKETING COMPANIES",True,4001
"23",101,"2026-02-06 14:12:20.310236+04","2026-02-06 14:12:20.310236+04","0822","PAPER & BOARD",True,4001
"24",101,"2026-02-06 14:12:20.310236+04","2026-02-06 14:12:20.310236+04","0823","PHARMACEUTICALS",True,4001
"25",101,"2026-02-06 14:12:20.310236+04","2026-02-06 14:12:20.310236+04","0824","POWER GENERATION & DISTRIBUTION",True,4001
"26",101,"2026-02-06 14:12:20.310236+04","2026-02-06 14:12:20.310236+04","0836","REAL ESTATE INVESTMENT TRUST",True,4001
"27",101,"2026-02-06 14:12:20.310236+04","2026-02-06 14:12:20.310236+04","0825","REFINERY",True,4001
"28",101,"2026-02-06 14:12:20.310236+04","2026-02-06 14:12:20.310236+04","0826","SUGAR & ALLIED INDUSTRIES",True,4001
"29",101,"2026-02-06 14:12:20.310236+04","2026-02-06 14:12:20.310236+04","0827","SYNTHETIC & RAYON",True,4001
"30",101,"2026-02-06 14:12:20.310236+04","2026-02-06 14:12:20.310236+04","0828","TECHNOLOGY & COMMUNICATION",True,4001
"31",101,"2026-02-06 14:12:20.310236+04","2026-02-06 14:12:20.310236+04","0829","TEXTILE COMPOSITE",True,4001
"32",101,"2026-02-06 14:12:20.310236+04","2026-02-06 14:12:20.310236+04","0830","TEXTILE SPINNING",True,4001
"33",101,"2026-02-06 14:12:20.310236+04","2026-02-06 14:12:20.310236+04","0831","TEXTILE WEAVING",True,4001
"34",101,"2026-02-06 14:12:20.310236+04","2026-02-06 14:12:20.310236+04","0832","TOBACCO",True,4001
"35",101,"2026-02-06 14:12:20.310236+04","2026-02-06 14:12:20.310236+04","0833","TRANSPORT",True,4001
"36",101,"2026-02-06 14:12:20.310236+04","2026-02-06 14:12:20.310236+04","0834","VANASPATI & ALLIED INDUSTRIES",True,4001
"37",101,"2026-02-06 14:12:20.310236+04","2026-02-06 14:12:20.310236+04","0835","WOOLLEN",True,4001
